word,trans,example
hobby,"n.嗜好；业余爱好
","1. What are your hobbies?
你有些什么爱好？
2. Susan’s hobbies include reading, cooking, and drama.
苏珊的业余爱好包括阅读、烹饪和戏剧。
3. Retirement gave him the time to pursue his hobbies.
退休以后他有充裕的时间来做自己喜欢做的事。
"
exile,"n.流放，充军；放逐，被放逐者；流犯
v.放逐，流放；使背井离乡
","1. political exiles
政治流亡者
"
syndrome,"n.[临床] 综合症状；并发症状；校验子；并发位
","1. people who suffer from irritable bowel syndrome
患有肠道过敏综合征的人
"
radius,"n.半径，半径范围；[解剖] 桡骨；辐射光线；有效航程
","1. The shock of the explosion was felt over a radius of forty miles.
爆炸引起的剧烈震动在方圆40英里内都能感觉得到。
"
inspect,"v.检查；视察；检阅
","1. I got out of the car to inspect the damage.
我下车查看损坏情况。
2. Police inspected the scene and interviewed all the staff.
警察仔细检查了现场并询问了所有员工。
"
legacy,"n.遗赠，遗产
","1. She received a small legacy from her aunt.
她从姨妈那里继承了一小笔遗产。
"
lemon,"adj.柠檬色的
n.柠檬
","1. A lemon is an acid fruit.
柠檬是一种酸味水果。
2. Add in the lemon after mixing the flour and sugar.
在面粉和糖混合之后倒入柠檬汁。
3. Or get together the eggs and lemon juice and make them, but you get the idea.
（就像将鸡蛋和柠檬原汁混合在一起并制作它们，但您得有想法）。
"
permeate,"v.渗透，透过；弥漫
","1. The smell of diesel oil permeated the air.
空气里充斥着柴油的气味。
"
fluctuate,"v.波动；涨落；动摇
","1. Insect populations fluctuate wildly from year to year.
昆虫的数量每年变化很大。
"
jewel,"n.宝石；珠宝
v.镶以宝石；饰以珠宝
","1. She loved dressing up and wearing priceless jewels.
她喜欢穿上盛装，戴上极为昂贵的珠宝首饰。
"
transport,"n.运输；运输机；狂喜；流放犯
v.运输；流放；使狂喜
","1. commuters who travel on public transport
乘坐公共交通车辆上下班的人
2. It’s easier to get to the college if you have your own transport (= a car, bicycle etc ) .
如果你有自己的交通工具，去学院就会更方便。
"
farewell,"n.告别，辞别；再见；再会
int.别了！（常含有永别或不容易再见面的意思）；再会！
adj.告别的
","1. Mourners gathered to bid farewell to the victims of the plane tragedy.
哀悼者来向空难受害者告别。
2. a farewell speech
告别演说
"
carpenter,"n.木匠，木工
v.当木匠，做木匠工作
","1. He is a carpenter by profession.
他以木工为业。
2. At an early age, I was apprenticed to a carpenter.
我小时候曾给木匠当过学徒。
3. That carpenter wanted to become a lawyer， but he was advised to stick to his last.
那个木匠想当律师， 但别人劝他安分守己地干他自己的老本行。
"
persuasion,"n.说服；说服力；信念；派别
","1. After a little gentle persuasion , Debbie agreed to let us in.
好言劝说了几句后，黛比就同意让我们进去了。
2. It had taken a great deal of persuasion to get him to accept.
费尽了口舌才让他接受。
3. She used all her powers of persuasion (= skill at persuading people ) to convince Tilly that it was the right thing to do.
她使尽浑身解数，才劝服蒂莉应该那么做。
"
gaol,"v.监禁
n.监狱
",
despise,"v.轻视，鄙视
","1. She despised her neighbours.
她看不起她的邻居。
"
jury,"n.[法] 陪审团；评判委员会
adj.应急的
","1. the members of the jury
陪审团成员
2. The jury found him not guilty.
陪审团裁定他无罪。
3. the right to trial by jury
由陪审团进行审理的权利
4. jury-rigged

"
artery,"n.动脉；干道；主流
","1. ...Connecticut Ave., one of the main arteries of Washington.
…康涅狄格大道，华盛顿的主干道之一。
"
silk,"n.丝绸；蚕丝；丝织物
adj.丝的；丝绸的；丝制的
vi.（玉米）处于长须的阶段中
","1. pure silk stockings
生丝面料的漂亮连衣裙
"
guy,"n.男人，家伙
v.嘲弄，取笑
","1. Dave’s a nice guy when you get to know him.
戴夫是个好人，你了解他后就知道了。
2. Jake’s a real tough guy.
杰克是个很厉害的家伙。
"
romantic,"adj.浪漫的；多情的；空想的
n.浪漫的人
vt.使…浪漫化
","1. ‘Tom always sends me red roses on my birthday.’ ‘How romantic!’
“我过生日时汤姆总是给我送红玫瑰。”“多浪漫啊！”
"
gut,"n.内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
v.取出内脏；摧毁（建筑物等）的内部
adj.简单的；本质的，根本的；本能的，直觉的
","1. He had a gut feeling that Sarah was lying.
他凭直觉感到萨拉在撒谎。
2. Let's have your gut reaction to the facts as we know them.
请告诉我们你对这些我们了解的事实的直觉反应。
"
tedious,"adj.沉闷的；冗长乏味的
","1. The work was tiring and tedious.
这工作既累人又枯燥。
"
friendly,"adj.友好的；亲切的；支持的；融洽的，和睦的
adv.友善地；温和地
n.(Friendly)人名；(英)弗兰德利
","1. a friendly smile
亲切的微笑
2. I’ve found a great pub – good beer and a friendly atmosphere.
我找到了一家很棒的酒馆——啤酒好，氛围也亲切。
"
anguish,"n.痛苦；苦恼
v.使极度痛苦
","1. the anguish of not knowing what had happened to her
由于不知道她发生了什么事而痛苦不堪
"
gun,"n.枪支；枪状物；持枪歹徒
v.用枪射击；加大油门快速前进
","1. I’ve never fired a gun in my life.
我这辈子从来没开过枪。
2. Jake was pointing a gun at the door.
杰克用枪对着门口。
3. Two policemen were killed in a gun battle .
两名警察在一次枪战中丧生。
"
mechanic,"n.技工，机修工
adj.手工的
","1. a garage mechanic
汽车修理厂的技工
"
conquest,"n.征服，战胜；战利品
","1. the Norman Conquest (= the conquest of England by the Normans )
诺曼征服
"
physiological,"adj.生理学的，生理的
","1. If so, this would add to a growing list of physiological and biological markers of sexual orientation.
如果是这样，这可能会给生理和生物学上的性取向标记增加一长串名单。
2. Almost anything that we like to do - eat, shop, gamble, have sex - contain the potential for psychological and physiological dependence.
我们喜欢做的几乎任何事——吃饭，购物，赌博，性爱——都可能引起心理和生理的依赖。
3. How do you respond to skeptics who say there must be some biological or physiological basis for that kind of experience, which you say in the book is medically inexplicable?
对那些无神论者关于濒死体验应该有些生物学的或生理学的基础的说法你如何回应，你在书中说这种体验是医学上无法解释的？
"
bug,"n.臭虫，小虫；故障；窃听器
v.烦扰，打扰；装窃听器
","1. There’s a nasty bug going round (=  that a lot of people have caught  ) .
现在流行着一种很烦人的传染病。
"
curse,"n.诅咒；咒骂
v.诅咒；咒骂
","1. He muttered a curse under his breath.
他低声骂了一句。
"
badge,"n.徽章；证章；标记
v.授给…徽章
","1. We were each handed a badge with our name on it.
我们每个人都拿到一个徽章，上面有我们的名字。
"
gang,"n.群；一伙；一组
v.使成群结队；结伙伤害或恐吓某人
","1. Several gangs were operating in the area.
有好几个犯罪团伙在这个地区活动。
2. Armed gangs have hijacked lorries.
武装犯罪团伙劫持了卡车。
"
bud,"n.芽，萌芽；蓓蕾
v.发芽，萌芽
","1. rose buds
玫瑰花苞
"
nucleus,"n.核，核心；原子核
","1. Neutrons and protons are bound together in the nucleus of an atom.
在一个原子的核内，中子和质子聚合在一起。
"
swift,"n.褐雨燕
adj.快的；迅速的；敏捷的；立刻的
adv.迅速地
","1. My letter received a swift reply.
我的信很快就得到了回复。
2. She shot a swift glance at Paul.
她迅速瞥了保罗一眼。
"
extravagant,"adj.奢侈的；浪费的；过度的；放纵的
","1. Would it be too extravagant to buy both?
把两个都买下会不会太奢侈了？
2. an extravagant lifestyle
奢侈的生活方式
"
latent,"adj.潜在的；潜伏的；隐藏的
","1. latent aggression
潜在的侵略
"
beef,"n.牛肉；肌肉；食用牛；牢骚
v.抱怨，告发；发牢骚
","1. roast beef
烤牛肉
2. We have both dairy and beef cattle on the farm.
我们农场里奶牛和菜牛都有。
"
nominal,"adj.名义上的；有名无实的；[会计] 票面上的
n.[语] 名词性词
","1. the nominal head of the rebellion
这次叛乱名义上的领导人
2. Their conversion to Christianity was only nominal.
他们只是名义上皈依了基督教。
"
reproduce,"v.复制；再生；生殖；使…在脑海中重现
","1. The turtles return to the coast to reproduce.
海龟回到岸上繁殖。
"
geology,"n.地质学；地质情况
","1. He was visiting professor of geology at the University of Georgia.
他曾是佐治亚大学的地质学客座教授。
"
beer,"n.啤酒
vi.喝啤酒
","1. a pint of beer
一品脱啤酒
2. We sell draught beer (=  beer served from a large container, not a bottle  ) .
我们出售散装啤酒。
"
hurry,"n.匆忙，急忙
v.仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理
","1. Sorry, I can’t stop, I’m in a hurry.
对不起，我不能停下，我赶时间。
2. You’ll make mistakes if you do things in too much of a hurry.
做事太仓促会出错。
"
survey,"n.调查；测量；审视；纵览
v.调查；勘测；俯瞰
","1. The council conducted a survey of the uses to which farm buildings are put.
该委员会对农场建筑的用途进行了一个调查。
"
gown,"n.长袍，长外衣；礼服；睡袍；法衣
v.使穿睡衣
","1. a hospital gown
医院手术服
"
divine,"adj.神圣的；非凡的；天赐的；极好的
v.占卜；预言；用占卜勘探
n.牧师；神学家
","1. divine power
神的力量
2. divine love
上帝的慈爱
"
tongue,"n.舌头；语言
v.舔；斥责；用舌吹
","1. Joe ran his tongue over his dry lips.
乔舔了舔干燥的嘴唇。
2. The taste of the chocolate was still on her tongue.
巧克力的余味依然留在她的舌尖。
3. The girl scowled at me, then stuck out her tongue .
女孩怒视着我，然后吐了一下舌头。
"
sink,"v.下沉；消沉；渗透
n.水槽；洗涤槽；污水坑
","1. Their motorboat struck a rock and began to sink.
他们的摩托艇触了礁，开始下沉。
2. The kids watched as the coin sank to the bottom of the pool.
孩子们看着那枚硬币沉到池底。
3. The heavy guns sank up to their barrels in the mud.
这些沉重的大炮深陷在泥里，只露出炮管。
"
sing,"v.唱歌；歌颂；鸣叫；呼号
n.演唱；鸣声；呼啸声
","1. She can sing beautifully.
她唱歌很好听。
2. Most children enjoy singing.
大多数孩子都喜欢唱歌。
3. We had a great time singing some of the old songs .
我们唱了一些老歌，非常开心。
4. I’ve never been able to sing in tune (= sing the correct notes ) .
我唱歌总是跑调。
5. She patiently sang the baby to sleep .
她耐心地唱歌哄宝宝入睡。
"
rejoice,"v.高兴；庆祝
","1. This should be wonderful news for... well, for all women born in 1979 and 1980, who can rejoice in the realisation that they are – or are about to be – at their peak.
这对所有在1979 和1980 年出生的女人来说应该是一个很棒的消息，她们会为自己正处于或即将处于人生的黄金时刻而感到高兴。
"
pitch,"v.倾斜；投掷；搭帐篷；坠落
n.沥青；音高；程度；树脂；倾斜；投掷；球场
","1. Try and pitch your tent on level ground.
试试在平地上搭帐篷。
"
cafeteria,"n.自助餐厅
","1. the school cafeteria
学校餐厅
"
trolley,"n.手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车
vi.乘电车
vt.用手推车运
","1. a supermarket trolley
超市购物手推车
"
erase,"v.抹去；擦除
","1. The computer crashed, and all our records were erased.
计算机瘫痪了，我们所有的记录都被删除了。
"
eject,"v.喷射；驱逐，逐出
","1. Two engines cut out and the plane started to eject fuel as it lost height.
两个发动机突然熄火，飞机在下降的同时开始喷出燃料。
"
ashamed,"adj.惭愧的，感到难为情的；耻于……的
","1. Everyone cries sometimes – it’s nothing to be ashamed of.
每个人都会有哭的时候——没什么好难为情的。
"
junk,"n.垃圾，废物；舢板
","1. This cupboard’s full of junk.
这个壁橱里塞满了杂物。
"
complement,"n.补语；余角；补足物
v.补足，补助
","1. The green wallpaper is the perfect complement to the old pine of the dresser.
绿色墙纸是旧松木梳妆台的完美衬托。
2. There will be a written examination to complement the practical test.
会有一次书面考试来补充实践测试。
"
upper,"adj.上面的，上部的；较高的
n.(Upper)人名；(英)厄珀
","1. the upper lip
上唇
"
hopeful,"adj.有希望的；有前途的
n.有希望成功的人
","1. The vote is a hopeful sign that attitudes in the church are changing.
投票结果是个好兆头，表明教会的态度正在转变。
"
tariff,"n.关税表；收费表
v.定税率；征收关税
","1. America wants to eliminate tariffs on items such as electronics.
美国想要取消电子类产品的关税。
"
comprehend,"v.理解；包含；由…组成
","1. She cannot comprehend the extent of the disaster.
她无法理解这场灾难的严重程度。
2. I did not fully comprehend what had happened.
我没有完全理解发生了什么事。
"
bacterium,"n.[微] 细菌；杆菌属
",
blunder,"v.跌跌撞撞地走；犯大错
n.大错
","1. They blundered badly when they gave him the job.
他们犯了大错，让他做这份工作。
"
fridge,"n.电冰箱
","1. Then all three of you sign the contract and post in on the fridge.
然后你们三个人要都在协议上签名，并把它贴在冰箱上。
2. I want this beer to chill so I'll leave it in the fridge for an hour.
我想要啤酒变凉，因此我把它放在冰箱里一小时。
3. It can be anything: spoiled milk from the back of your fridge right down to tar and feathers.
它可以是任何玩意儿：从你冰箱后面那些变质的牛奶到沥青和羽毛。
"
towel,"n.毛巾，手巾；[纸] 纸巾
v.用毛巾擦
","1. Have you got a clean towel I could use?
你有没有干净毛巾给我用？
"
rifle,"n.步枪；来复枪
v.用步枪射击；抢夺；偷走
","1. They shot him at point blank range with an automatic rifle.
他们用一支自动步枪在近距离射程内射中了他。
"
kidney,"n.[解剖] 肾脏；腰子；个性
","1. a kidney transplant
肾脏移植
"
storage,"n.存储；仓库；贮藏所
","1. the storage of highly radioactive material
高放射性材料的存放
"
auction,"v.拍卖；竞卖
n.拍卖
","1. Eight drawings by French artist Jean Cocteau will be auctioned next week.
法国艺术家让·科克托的8幅画作将在下周拍卖。
"
solemn,"adj.庄严的，严肃的；隆重的，郑重的
","1. a solemn expression
严肃的表情
2. Their faces suddenly grew solemn.
他们的脸突然变得严肃起来。
3. a solemn procession of mourners
庄重的送葬队伍
"
intensity,"n.强度；强烈；[电子] 亮度；紧张
","1. The intensity of the hurricane was frightening.
飓风的猛烈程度令人恐惧。
"
sham,"n.假装；骗子；赝品
v.假装；冒充
adj.假的；虚假的；假装的
","1. The elections were a complete sham.
这次大选完全是一场骗局。
"
jewelry,"n.珠宝；珠宝类
",
ghost,"n.鬼，幽灵
v.作祟于；替…捉刀；为人代笔
","1. They say the young girl’s ghost still haunts (= often appears in ) the house.
他们说那个少女的鬼魂依旧在那房子里出没。
2. He looked as if he’d seen a ghost (= he looked very frightened ) .
他看上去像见到了鬼似的。
"
