word,word_sen,word_sen_trans,trans,example
memorial,Building a memorial to Columbus has been his lifelong dream.,建一座哥伦布纪念碑一直是他一生的梦想。,"n.纪念碑，纪念馆；纪念仪式；纪念物
adj.记忆的；纪念的，追悼的
","1. Building a memorial to Columbus has been his lifelong dream.
建一座哥伦布纪念碑一直是他一生的梦想。
"
ward,the other patients in the ward,病房里的其他病人,"n.病房；保卫；监视
v.避开；保卫；守护
","1. the other patients in the ward
病房里的其他病人
"
flesh,a freshwater fish with firm white flesh,一种肉色雪白、肉质紧实的淡水鱼,"n.肉；肉体
v.喂肉给…；使发胖
","1. a freshwater fish with firm white flesh
一种肉色雪白、肉质紧实的淡水鱼
"
steal,Boys broke into a shop and stole £45 in cash.,男孩们闯进一家商店，盗走了45英镑现金。,"v.剽窃；偷偷地做；偷窃
n.偷窃；便宜货；偷垒；断球
","1. Boys broke into a shop and stole £45 in cash.
男孩们闯进一家商店，盗走了45英镑现金。
"
stun,Redfern stunned the crowd with a last-minute goal.,雷德芬在最后一分钟进球，使观众很是震惊。,"v.使震惊；打昏；给以深刻的印象
n.昏迷；打昏；惊倒；令人惊叹的事物
","1. Redfern stunned the crowd with a last-minute goal.
雷德芬在最后一分钟进球，使观众很是震惊。
"
ponder,He continued to ponder the problem as he walked home.,他一边往家走一边继续思考那个问题。,"v.仔细考虑；衡量
n.(Ponder)人名；(英)庞德
","1. He continued to ponder the problem as he walked home.
他一边往家走一边继续思考那个问题。
"
accuse,The professor stands accused of (=  has been accused of  ) stealing his student’s ideas and publishing them.,那位教授被指控剽窃学生的观点拿去发表。,"v.控告，指控；谴责；归咎于
","1. The professor stands accused of (=  has been accused of  ) stealing his student’s ideas and publishing them.
那位教授被指控剽窃学生的观点拿去发表。
"
sportsman,He’s a very keen sportsman .,他是个非常喜爱运动的人。,"n.运动员；运动家；冒险家
","1. He’s a very keen sportsman .
他是个非常喜爱运动的人。
2. a talented all-round sportsman
一名有天赋的全能运动员
"
boot,hiking boots,远足靴,"v.引导；踢；解雇；使穿靴
n.靴子；踢；汽车行李箱
","1. hiking boots
远足靴
2. a pair of boots
一双靴子
"
steep,The road became rocky and steep.,路变得崎岖陡峭起来。,"adj.陡峭的；不合理的；夸大的；急剧升降的
v.泡；浸；使…充满
n.峭壁；浸渍
","1. The road became rocky and steep.
路变得崎岖陡峭起来。
2. a steep climb to the top
到山顶的一段陡坡
"
manual,People in manual occupations have a lower life expectancy.,干体力活的人预期寿命较短。,"adj.手工的；体力的
n.手册，指南
","1. People in manual occupations have a lower life expectancy.
干体力活的人预期寿命较短。
"
steer,He was steering with only one hand.,他只用一只手在驾驶。,"v.控制，引导；驾驶
n.阉牛
","1. He was steering with only one hand.
他只用一只手在驾驶。
"
pencil,a sharp pencil,尖尖的铅笔,"n.铅笔；笔状物
v.用铅笔写；用眉笔涂
","1. a sharp pencil
尖尖的铅笔
2. a blue pencil
蓝色铅笔
3. a pencil sketch
铅笔速写
"
sequence,Be careful to perform the actions in the correct sequence .,注意要按正确的顺序来完成动作。,"n.[数][计] 序列；顺序；续发事件
v.按顺序排好
","1. Be careful to perform the actions in the correct sequence .
注意要按正确的顺序来完成动作。
"
broadcast,The interview was broadcast live across Europe.,这次采访向整个欧洲进行了现场直播。,"v.播送，播放；（无线电或电视）广播；播撒（种子）
n.广播；播音；广播节目
adj.广播的
","1. The interview was broadcast live across Europe.
这次采访向整个欧洲进行了现场直播。
"
aboard,"The plane crashed, killing all 200 people aboard.",飞机失事，机上200人全部遇难。,"adv.在飞机上；[船] 在船上；在火车上
prep.在…上
","1. The plane crashed, killing all 200 people aboard.
飞机失事，机上200人全部遇难。
2. The boat swayed as he stepped aboard.
他上船时，船晃了起来。
"
perfection,My father expected perfection from all of us.,父亲期望我们都尽善尽美。,"n.完善；完美
","1. My father expected perfection from all of us.
父亲期望我们都尽善尽美。
2. the search for technical perfection
对技术的精益求精
"
pilot,an airline pilot,航空公司飞行员,"n.飞行员；领航员
adj.试点的
v.驾驶；领航；试用
","1. an airline pilot
航空公司飞行员
2. a fighter pilot
战斗机驾驶员
3. The official report into the accident says that it was caused by pilot error (= a mistake by the pilot ) .
那宗事故的官方报告称事故是由飞行员失误造成的。
4. The plan is to launch a pilot programme next summer.
计划是在明年夏天实施一个试验性方案。
"
package,There’s a package here for a Miami Lakes address.,这里有一个寄往迈阿密湖的包裹。,"n.包，包裹；套装软件，[计] 程序包
adj.一揽子的
v.打包；将…包装
","1. There’s a package here for a Miami Lakes address.
这里有一个寄往迈阿密湖的包裹。
"
gallery,,,"n.画廊；走廊；旁听席；地道
vt.在…修建走廊；在…挖地道
vi.挖地道
",
finance,leasing and other forms of business finance,租赁及其他商业金融形式,"n.财政，财政学；金融
v.负担经费，供给…经费
","1. leasing and other forms of business finance
租赁及其他商业金融形式
2. Russia’s finance minister
俄罗斯财政部长
3. the world of high finance
高级金融界
"
fatal,potentially fatal diseases,潜在致命的疾病,"adj.致命的；重大的；毁灭性的；命中注定的
n.(Fatal)人名；(葡、芬)法塔尔
","1. potentially fatal diseases
潜在致命的疾病
2. If it is not treated correctly, the condition can prove fatal (= be fatal ) .
如果治疗不当，这种病可能会致命。
"
incidentally,"Incidentally, where were you born?",顺便问一下，你在哪儿出生的？,"adv.顺便；偶然地；附带地
","1. Incidentally, where were you born?
顺便问一下，你在哪儿出生的？
2. The wine, incidentally, goes very well with a mature cheese.
顺便说一下，这种葡萄酒配熟干酪味道很好。
"
dinner,What time do you usually have dinner?,你通常什么时候吃饭？,"n.晚餐，晚宴；宴会；正餐
","1. What time do you usually have dinner?
你通常什么时候吃饭？
2. We’re having fish for dinner tonight.
我们今天晚饭吃鱼。
3. What’s for dinner?
晚饭吃什么？
"
east,Which way is east?,哪边是东？,"n.东方；东风；东方国家
adj.东方的；向东的；从东方来的
adv.向东方，在东方
","1. Which way is east?
哪边是东？
"
enrich,Add fertilizer to enrich the soil.,施上肥料使土壤肥沃。,"v.使充实；使肥沃；使富足
n.(Enrich)人名；(西)恩里奇
","1. Add fertilizer to enrich the soil.
施上肥料使土壤肥沃。
2. Education can greatly enrich your life.
教育可以大大充实生活。
"
