word,trans,example
crisp,"adj.脆的,易碎的；（空气）清爽的
","1. She kicked at the crisp leaves at her feet.
她踢着脚边松脆的树叶。
2. The air was fresh and crisp.
空气清新凉爽。
"
democratic,"adj.民主的
","1. a democratic government
民主政府
2. the role of the media in the democratic process
民主进程中媒体的作用
"
introduction,"n.(to)介绍；传入,引进；导言,导论,绪论
","1. Pete, are you going to make the introductions?
皮特，你来作一下介绍吧。
2. the introduction of Buddhism to China nearly 2,000 years ago
约2,000年前佛教传入中国
3. In the introduction, he explains why he wrote the book.
在引言里，他解释了写这本书的原因。
"
collective,"n.集体企业; 集体农庄
adj.集体的,共同的
","1. He will see that he is participating in all the decisions of the collective.
他要确保他在参与集体企业的所有决策。
2. our collective responsibility for the environment
我们对环境的共同责任
"
elevator,"n.电梯,升降机
","1. We’ll have to take the elevator.
我们只好坐电梯了。
"
difficult,"adj.困难的,艰难的
","1. a difficult question
难解的问题
2. an immensely difficult task
极为艰巨的任务
3. Was the exam very difficult?
这次考试很难吗？
4. It’s difficult to see how more savings can be made.
想要进一步节约看来是很难了。
5. He’s finding it difficult to get a job.
他发现找工作很难。
"
dictation,"n.口述；听写
","1. There were no secretaries available to take dictation (= write down what someone is saying ) .
身边没有秘书记录口授内容。
2. I hate doing French dictations .
我讨厌做法语听写。
"
name,"n.名字；名称；名声；名义
v.给…取名
","1. Her name is Mandy Wilson.
她的名字是曼迪•威尔逊。
2. What’s the name of the street?
那条街叫什么名字？
3. He didn’t want to do anything to damage the good name of the company.
他不想做任何有损公司良好声誉的事。
4. The house is in my husband’s name.
房子归于我丈夫名下。
5. We named our daughter Sarah.
我们给女儿取名为萨拉。
"
overtime,"n.超时工作，加班时间
adv.加班
","1. He’s been doing a lot of overtime recently.
他近来加班很多。
2. The newspaper staff worked overtime.
新闻工作人员超时工作
"
comparable,"adj.类似的，相当的；可相比的
","1. A car of comparable size would cost far more abroad.
同样大小的汽车在国外要贵得多。
"
senator,"n.参议员
","1. Senator Kennedy
肯尼迪参议员
"
insult,"v.侮辱,凌辱
n.侮辱,冒犯
","1. Nobody insults my family and gets away with it!
谁也别想侮辱了我的家人之后就这么算了！
2. She was shouting insults at her boyfriend.
她正对她的男朋友高声辱骂。
"
intact,"adj.完整无缺的,未经触动的,未受损伤的
","1. Only the medieval tower had remained intact.
只有这座中世纪塔楼保存完好。
2. His reputation survived intact.
他的声望丝毫未受影响。
"
sufficient,"adj.(for)足够的,充分的(比enough拘谨、正式)
","1. We can only prosecute if there is sufficient evidence.
有了足够的证据，我们才能提出起诉。
2. Unauthorized absence is sufficient reason for dismissal.
旷工足以成为解雇的理由。
3. We need sufficient time to deal with the problem.
我们需要足够的时间来处理这个问题。
"
creative,"adj.创造性的；有创造力的
","1. This job is so boring. I wish I could do something more creative.
这工作太单调了，我希望能做些更有创造性的事情。
2. I teach creative writing at Trinity College.
我在三一学院教创意写作。
3. the creative process of writing a poem
写诗的创作过程
4. Diaghilev did his great creative work in France.
狄亚格列夫在法国编创了富有创新性的伟大作品。
5. a creative solution to the problem
这一问题的创新性解决方法
6. You’re so creative! I could never make my own clothes
你真有创造力！我从来不会自己做衣服。
"
batch,"n.一批,一组,一群
","1. Every day another batch of papers reaches the manager, demanding his attention.
每天都有一批新的文件交到经理手里，要他处理。
"
consistent,"adj.一贯的，一致的
","1. We need to be consistent in our approach.
我们在方法上要前后一致。
"
mirror,"n.镜子
v.反映,反射
","1. He spends hours in front of the mirror !
他老是照镜子！
2. Henry’s sad smile mirrored that of his son.
亨利脸上那苦涩的笑容跟他儿子一模一样。
"
proof,"n.证据,证明；校样,样张
","1. There is no proof that the document is authentic.
没有证据证明这份文件是真的。
2. Can you check these proofs?
你能核对一下这些校样吗？
"
domain,"n.(活动,思想等)领域,范围；领地
","1. Looking after the house was viewed as a woman’s domain.
料理家务被认为是女性的份内之事。
2. the extent of the royal domainv
皇家领地的范围
"
invaluable,"adj.非常宝贵的,无价的
","1. I was able to gain invaluable experience over that year.
在那一年里我获得了十分宝贵的经验。
"
coincidence,"n.巧合；同时发生；符合，一致
","1. ‘I’m going to Appleby tomorrow.’ ‘ What a coincidence ! I’m going there too.’
“明天我要去阿普尔比。”“太巧了！我也要去那里。”
2. a coincidence of interest between the mining companies and certain politicians
采矿公司和某些政客在利益上的一致
"
sole,"adj.单独的,唯一的
n.脚垫,鞋底；鞋底
","1. the sole American in the room
房间里唯一的美国人
2. Griffiths is the sole survivor of the crash.
格里菲思是此次撞车事故唯一的幸存者。
3. The soles of his feet were caked in mud.
他的脚掌上沾满了泥巴。
4. the soles of her shoes
她鞋子的鞋底
"
submerge,"v.沉没,淹没；潜入
","1. The tunnel entrance was submerged by rising sea water.
隧道入口被涨起的海水淹没。
2. The submarine submerged.
潜艇潜入水中。
"
illustrate,"v.举例说明,阐明；图解,加插图
","1. Let me give an example to illustrate the point.
让我举个例子来说明这一点。
2. Over a hundred diagrams, tables and pictures illustrate the book.
这本书有一百多幅图解、表格和图片。
"
result,"n.结果；成绩，比分；〔选举的〕结果
v.结果,致使,导致,由…而造成
","1. High unemployment is a direct result of the recession.
高失业率是经济衰退的直接后果。
2. Growing plants from seed can produce disappointing results .
将种子培育成植株，有时会产生令人失望的结果。
3. the football results
足球比赛的结果
4. How would you cope with unemployment and the resulting loss of income?
你会如何应付失业及由此造成的收入损失？
"
gentle,"adj.和蔼的,文雅的,有礼貌的
","1. Arthur was a very gentle, caring person.
阿瑟是一个非常温柔体贴的人。
"
describe,"v.描述,形容
","1. The police asked her to describe the man.
警察叫她描述一下那名男子。
2. Another approach to the problem is described in Chapter 3.
这个问题的另一种解决方法在第三章有所阐述。
"
cargo,"n.船货,货物
","1. a cargo plane
货机
"
commonwealth,"n.共和国,联邦,共同体
","1. ...the Asian, Caribbean and African members of the commonwealth.
…英联邦在亚洲、加勒比海和非洲的成员国。
"
apologise,"v.(to,for)道歉，认错
","1. We apologize for the late departure of this flight.  
本航班延误离境,谨致歉意。
"
debate,"n.争论,辩论
v.讨论,辩论
","1. the gun-control debate in the US
美国有关控制枪支的争论
2. The new drug has become the subject of heated debate within the medical profession.
这种新药成了医学界激烈争论的话题。
3. A fierce debate raged over which artist’s work should be chosen for the prize.
就哪位艺术家的作品应该得奖一事展开了激烈的争论。
4. The issue will be debated on Tuesday.
这个问题将在星期二讨论。
"
agony,"n.(精神或肉体的)极大痛苦，创伤
","1. the agony of arthritis
关节炎的剧烈疼痛
"
celebrity,"n.名人，名流；著名，名声，名望
","1. a sporting celebrity
体育明星
2. He’s a national celebrity.
他是全国有名的人物。
3. We invited a number of minor celebrities (= people who are not very famous ) .
我们邀请了一些小有名气的人物。
4. He achieved celebrity as a sports commentator.
他作为一名体育评论员而享誉四方。
"
remarkable,"adj.值得注意的;显著的,异常的,非凡的
","1. She has made remarkable progress.
她取得了显著的进步。
2. a remarkable coincidence
不寻常的巧合
3. He’s a remarkable man .
他是个了不起的人。
"
legitimate,"adj.合理的，合乎逻辑的；合法的
v.使合法
","1. That’s a perfectly legitimate question.
那个问题完全合乎情理。
2. Their business operations are perfectly legitimate.
他们的商业活动完全合法。
"
grant,"v.同意,准予
n.补助金，拨款
","1. Britain could grant Spain’s request .
英国可能会同意西班牙的请求。
2. I would love to be able to grant her wish.
我很希望能够满足她的愿望。
3. The university gets a government grant.
这所大学获得政府拨款。
"
collection,"n.收藏(品),收集(物)
","1. Robert's collection of prints and paintings has been bought over the years.
罗伯特的印刷收藏品和藏画是多年来花钱买的。
"
avenue,"n.大街；林荫路；途径，渠道，方法
","1. Fifth Avenue
第五大街
2. a tree-lined avenue
林荫道
3. There are many avenues open to researchers.
研究人员有许多途径可供选择。
"
respective,"adj.各自的,各个的
","1. We all went back to our respective homes to wait for news.
我们都各自回家等待消息。
2. the respective roles of teachers and students
教师和学生各自不同的角色
"
controversy,"n.争论，辩论，争吵
","1. a political controversy
政治争议
2. the controversy surrounding Skinner’s theories
围绕斯金纳的理论的争议
"
estimate,"n.估计；估价
v.估计,估价
","1. We just need an estimate of the number of people who will come.
我们只需估算一下有多少人会来。
2. The garage said they’d send me an estimate for the work.
汽车修理厂说他们会给我寄来维修报价。
3. The tree is estimated to be at least 700 years old.
这棵树估计至少有700年树龄。
"
coordinate,"v.协作，协调
","1. The agencies are working together to co-ordinate policy on food safety.
这些机构在共同合作为食品安全政策做协调工作。
"
inspect,"v.检查,调查；视察,检阅
","1. I got out of the car to inspect the damage.
我下车查看损坏情况。
2. The building is regularly inspected by the fire-safety officer.
消防安全官定期巡视这座大楼。
"
symptom,"n.(疾病的)症状；(不好事情的)征兆,表征
","1. One of the most common symptoms of schizophrenia is hearing imaginary voices.
精神分裂症最常见的症状之一是幻听。
2. The disappearance of jobs is a symptom of a deeper socioeconomic change.
工作岗位减少是社会经济发生进一步变化的一个征兆。
"
appropriate,"adj.适当的
v.挪用,盗用；拨给
","1. The timing of the announcement was particularly appropriate .
通告发布的时机很合适。
2. Where appropriate , I delegate as much work as possible.
只要合适，我就尽量把工作分派出去。
3. He is suspected of appropriating government funds .
他被怀疑挪用政府资金。
4. Congress appropriated 5 million for International Women’s Year.
国会为国际妇女年拨款500万美元。
"
considerable,"adj.相当大(或多)的,可观的
","1. Michael has already spent considerable time in Barcelona.
迈克尔在巴塞罗那已经待了相当长的时间了。
2. issues of considerable importance
相当重要的问题
3. The series has aroused considerable interest.
这套系列节目引起了观众相当浓厚的兴趣。
"
delight,"n.快乐,高兴
v.(使)高兴,(使)欣喜
","1. Throughout the house, the views are a constant source of surprise and delight.
整个房子，目之所及不停带来惊奇和欣喜。
2. He is delighting audiences with his wit and humour.
他在用自己的智慧和幽默娱乐观众。
"
discriminate,"v.有差别地对待,歧视；区别,辨别
","1. Under federal law, it is illegal to discriminate against minorities and women.
联邦法律规定，歧视少数民族和妇女是违法的。
2. He is incapable of discriminating between a good idea and a terrible one.
他没能力在一个好主意和一个坏主意之间进行区分。
"
prepare,"v.筹备，（为…）做准备
","1. The prosecution wanted more time to prepare their case.
原告想要有更多的时间来准备诉讼。
"
removal,"n.移动；除去
","1. the removal of rubbish
移除垃圾
2. stain removal
去污
"
deficiency,"n.缺乏,不足；缺点,缺陷
","1. They did blood tests on him for signs of vitamin deficiency.
他们给他做了血检看是否有缺乏维生素的迹象。
2. There are deep deficiencies in this law.
这条法律存在严重的缺陷。
"
assistance,"n.援助; 帮助
","1. We offer financial assistance to students.
我们向学生提供经济援助。
2. Can I be of any assistance (=  can I help you  ) ?
我能帮什么忙吗？
"
perpetual,"adj.永久的,永恒的,长期的
","1. the perpetual snows of the mountaintops
山顶的终年积雪
"
transport,"v.运输,运送,搬运
n.运输系统,运载工具；运输,运送
","1. trucks used for transporting oil
运输石油的卡车
2. commuters who travel on public transport
乘坐公共交通车辆上下班的人
3. Canals were used for the transport of goods.
利用运河来运输货物。
"
deduce,"v.(from)演绎,推断,推论
","1. Alison cleverly deduced that I was the author of the letter.
艾莉森聪明地推断出我是这封信的作者。
"
impossible,"adj.不可能的；难以忍受的，很难对付的
","1. It’s impossible to be accurate about these things.
这些事情不可能准确无误。
2. The noise made sleep impossible.
噪音吵得人无法睡觉。
3. Members with young children often found it impossible to attend evening meetings.
有小孩的会员常觉得没法参加晚上的聚会。
4. It is difficult to find work these days, but for blind people it is virtually impossible.
现在找工作很难，对于盲人来说几乎是不可能。
5. He was faced with a seemingly impossible task.
他面临着似乎不可能完成的任务。
6. It was physically impossible to get the fridge through the door.
根本不可能把冰箱从这扇门搬过去。
7. He was facing impossible odds.
他面临的情况极为不利。
8. Helen’s refusal to cooperate put me in an impossible position.
海伦拒绝合作，使我进退维谷。
"
recur,"v.(尤指不好的事)一再发生；重现
","1. There is a danger that the disease may recur.
这种病有复发的危险。
2. Love is a recurring theme in the book.
爱情是这本书中反复出现的主题。
"
conform,"v.(to)遵守；一致，符合
","1. Students can be expelled for refusing to conform to school rules.
学生不遵守校规可能会被开除。
2. The lamp has been designed to conform to new safety standards.
该灯设计得符合新的安全标准。
"
description,"n.描写,形容
","1. The booklet gives a brief description of each place.
这本小册子对每一个地方都作了简短的介绍。
2. Berlin sounds fascinating from your description.
从你的描述来看，柏林是个迷人的城市。
"
enclose,"v.包围; 装
","1. The pool area is enclosed by a six-foot wall.
游泳区用六英尺高的高墙围了起来。
2. Enclose the flower in a small muslin bag.
把这花用一个小棉袋包起来。
"
swallow,"n.燕子；吞咽
v.吞,咽；咽口水；轻信
","1. He downed his whisky in one swallow.
他一口喝下威士忌。
2. He swallowed the last of his coffee and asked for the bill.
他喝完最后一口咖啡，要求结账。
3. She swallowed nervously before beginning.
开始之前她紧张地咽了一下口水。
4. I found his story a bit hard to swallow (= difficult to believe ) .
我觉得他的说法有点叫人难以置信。
"
porter,"n.守门人,门房；行李搬运工；服务员
","1. Our taxi pulled up at Old Delhi station and a porter sprinted to the door.
我们的出租车停在老德里车站，一个搬运工疾步跑向车门。
"
direction,"n.方向,方位；指令；说明
","1. Which direction did they go in ?
他们朝哪个方向走了？
2. A very helpful woman gave me directions to the police station.
一个很热心的妇女给我指了去警察局的路。
3. Be sure you read the directions before using any piece of equipment.
使用任何设备之前一定要先阅读操作指南。
"
